Fungus,PhyloGroup,HostGroup
P34,subsp1,Fabaceae
P39,subsp1,Cucurbitaceae
P17,subsp1,Not plant isolated
P455,subsp1,Brassicaceae
P11,subsp2,Monocots
P33,subsp1,Fabaceae
P15,subsp1,Other dicots
P10,subsp2,Other dicots
P46,subsp2,Unknown
P55,subsp2,Cucurbitaceae
P56,subsp2,Solanaceae
P57,subsp2,Cucurbitaceae
P7,subsp2,Cucurbitaceae
P9,subsp2,Other dicots
P8,subsp2,Not plant isolated
P340,subsp1,Brassicaceae
P19,subsp1,Brassicaceae
P42,subsp1,Marchantiaceae
P3,subsp2,Solanaceae
P62,subsp2,Cucurbitaceae
P23,notInSubsp,Not plant isolated
P38,subsp1,Cucurbitaceae
P6,subsp1,Other dicots
P35,subsp1,Cucurbitaceae
P58,subsp2,Brassicaceae
P13,subsp2,Other dicots
P2,subsp2,Other dicots
P36,subsp1,Cucurbitaceae
P612,subsp1,Brassicaceae
P25,subsp1,Brassicaceae
P27,subsp1,Brassicaceae
P1,subsp2,Not plant isolated
P24,subsp1,Brassicaceae
P52,subsp1,Not plant isolated
P49,notInSubsp,Other dicots
P59,subsp2,Brassicaceae
P14,subsp1,Other dicots
P26,subsp1,Brassicaceae
P28,subsp1,Brassicaceae
P63,subsp1,Brassicaceae
P67,subsp2,Other dicots
P4,subsp1,Other dicots
P16,subsp1,Brassicaceae
P5,subsp1,Solanaceae
P51,subsp1,Not plant isolated
P60,subsp2,Brassicaceae
P68,subsp1,Brassicaceae
P18,subsp1,Brassicaceae
P143,subsp1,Brassicaceae
P50,subsp2,Monocots
P12,subsp2,Other dicots
P43,subsp1,Brassicaceae
P21,subsp2,Solanaceae
P20,subsp2,Rosaceae
P47,notInSubsp,Other dicots
P31,subsp2,Other dicots
P421,subsp1,Brassicaceae
P54,subsp2,Other dicots
P61,subsp1,Rosaceae
P44,subsp1,Other dicots
P32,subsp1,Fabaceae
P65,subsp2,Brassicaceae
P45,subsp1,Monocots
P29,subsp1,Brassicaceae
P41,subsp1,Other dicots
P30,P. plurivora,Not plant isolated
P40,notInSubsp,Not plant isolated
P22,subsp2,Rosaceae
P117,P. plurivora,Brassicaceae
P66,subsp1,Solanaceae
P48,subsp1,Solanaceae
P64,P. delsorboi,Monocots
